whole_name,symbol,exchange,name,trade,changepercent,open,high,low,preclose,volume,bidprice1,askprice1,ticktime,tradedate,
新交所 TSI CFR 中国铁矿石（62%铁粉）指数,FEF,sgx,中国铁矿石（62%铁粉,131.185,-1.25%,133.15,133.15,130.6,132.84,356305,131.25,131.3,14:02:10,2014/1/31,
马棕油,FCPO,ice,马棕油,3841.1,-0.02%,3833,3860,3815,3842,68136,3838,3840,12:29:58,2014/1/31,
NYBOT-棉花,CT,nybot,棉花,84.898,0.14%,84.68,84.97,84.6,84.78,0,84.87,84.9,13:59:47,2014/1/31,
LME镍3个月,NID,lme,镍3个月,16384.5,-0.75%,16495,16525,16380,16508,0,16380,16400,14:00:03,2014/1/31,
LME铅3个月,PBD,lme,铅3个月,2168.5,-0.39%,2175.5,2176,2164,2177,0,2168.5,2170,14:00:34,2014/1/31,
LME锡3个月,SND,lme,锡3个月,26074,0.27%,26060,26145,26020,26005,0,26000,26120,13:30:06,2014/1/31,
LME锌3个月,ZSD,lme,锌3个月,2565,0.02%,2562.5,2572,2560.5,2564.5,0,2564.5,2566.5,13:59:01,2014/1/31,
LME铝3个月,AHD,lme,铝3个月,2263.25,-0.49%,2271,2273.5,2261,2274.5,0,2263,2264,14:01:40,2014/1/31,
LME铜3个月,CAD,lme,铜3个月,8597.65,-0.20%,8628,8629,8590,8615,0,8597.5,8599,14:01:40,2014/1/31,
CBOT-黄豆,S,cbot,黄豆,1212.95,-0.48%,1218.75,1219,1212.5,1218.75,307796,1212.75,1213.25,14:02:08,2014/1/31,
CBOT-小麦,W,cbot,小麦,602.9,-0.43%,605,605,602,605.5,190256,602.75,603,14:01:16,2014/1/31,
CBOT-玉米,C,cbot,玉米,446.975,-0.17%,447.25,447.75,446.75,447.75,647848,447,447.25,14:01:54,2014/1/31,
CBOT-黄豆油,BO,cbot,黄豆油,45.556,-0.97%,46,46,45.52,46,201005,45.55,45.56,14:02:08,2014/1/31,
CBOT-黄豆粉,SM,cbot,黄豆粉,363.11,0.03%,363,364.7,362.3,363,187586,363.1,363.2,14:01:59,2014/1/31,
COMEX铜,HG,comex,铜3个月,389.395,-0.44%,391.35,391.4,388.9,391.1,122168,389.4,389.45,14:02:05,2014/1/31,
NYMEX天然气,NG,nymex,天然气,2.061,-0.77%,2.09,2.092,2.057,2.077,404441,2.061,2.063,14:02:09,2014/1/31,
NYMEX原油,CL,nymex,原油,77.657,-0.21%,77.84,78.11,77.45,77.82,388094,77.67,77.69,14:01:45,2014/1/31,
COMEX白银,SI,comex,白银,23.187,-0.16%,23.29,23.33,23.16,23.225,98054,23.19,23.195,14:01:54,2014/1/31,
COMEX黄金,GC,comex,黄金,2052.97,0.10%,2055.3,2056.7,2050.9,2050.9,343587,2053.2,2053.4,14:02:06,2014/1/31,
CME-瘦肉猪,LHC,cme,瘦肉猪,84.28,1.02%,83.2,85.925,83.2,83.425,92192,84.35,84.4,3:04:59,2014/1/31,
布伦特原油,OIL,ice,布伦特原油,82.306,-0.24%,82.64,82.65,82.09,82.5,0,82.32,82.34,14:01:56,2014/1/31,
伦敦金,XAU,ice,伦敦金,2035.32,-0.07%,2036.98,2038.57,2032.74,2036.74,0,2035.32,2035.69,14:02:00,2014/1/31,
伦敦银,XAG,ice,伦敦银,23.05,-0.39%,23.13,23.19,23.01,23.14,0,23.05,23.1,14:02:00,2014/1/31,
伦敦铂金,XPT,ice,伦敦铂金,929.98,-0.18%,933.5,933.5,928,931.7,65778,930.1,930.5,14:01:25,2014/1/31,
伦敦钯金,XPD,ice,伦敦钯金,984.15,0.47%,980.5,985.5,974.5,979.5,19835,983.5,984.5,13:57:53,2014/1/31,
欧洲碳排放,EUA,ice,欧洲碳排放,62.041,3.51%,59.85,62.05,59.69,59.94,0,62,62.04,0:51:34,2014/1/31,
